"time","Gateway"
2023-07-18 17:39:36,
2023-07-18 17:39:37,84
2023-07-18 17:39:38,84
2023-07-18 17:39:39,84
2023-07-18 17:39:40,84
2023-07-18 17:39:41,84
2023-07-18 17:39:42,84
2023-07-18 17:39:43,84
2023-07-18 17:39:44,84
2023-07-18 17:39:45,84
2023-07-18 17:39:46,84
2023-07-18 17:39:47,84
2023-07-18 17:39:48,84
2023-07-18 17:39:49,84
2023-07-18 17:39:50,84
2023-07-18 17:39:51,84
2023-07-18 17:39:52,85
2023-07-18 17:39:53,85
2023-07-18 17:39:54,85
2023-07-18 17:39:55,85
2023-07-18 17:39:56,85
2023-07-18 17:39:57,85
2023-07-18 17:39:58,85
2023-07-18 17:39:59,85
2023-07-18 17:40:00,85
2023-07-18 17:40:01,85
2023-07-18 17:40:02,85
2023-07-18 17:40:03,85
2023-07-18 17:40:04,85
2023-07-18 17:40:05,85
2023-07-18 17:40:06,86
2023-07-18 17:40:07,86
2023-07-18 17:40:08,86
2023-07-18 17:40:09,86
2023-07-18 17:40:10,86
2023-07-18 17:40:11,86
2023-07-18 17:40:12,86
2023-07-18 17:40:13,86
2023-07-18 17:40:14,86
2023-07-18 17:40:15,86
2023-07-18 17:40:16,86
2023-07-18 17:40:17,86
2023-07-18 17:40:18,86
2023-07-18 17:40:19,86
2023-07-18 17:40:20,86
2023-07-18 17:40:21,86
2023-07-18 17:40:22,86
2023-07-18 17:40:23,86
2023-07-18 17:40:24,86
2023-07-18 17:40:25,86
2023-07-18 17:40:26,86
2023-07-18 17:40:27,87
2023-07-18 17:40:28,87
2023-07-18 17:40:29,87
2023-07-18 17:40:30,87
2023-07-18 17:40:31,87
2023-07-18 17:40:32,87
2023-07-18 17:40:33,87
2023-07-18 17:40:34,87
2023-07-18 17:40:35,87
2023-07-18 17:40:36,87
2023-07-18 17:40:37,87
2023-07-18 17:40:38,87
2023-07-18 17:40:39,87
2023-07-18 17:40:40,87
2023-07-18 17:40:41,87
2023-07-18 17:40:42,87
2023-07-18 17:40:43,87
2023-07-18 17:40:44,87
2023-07-18 17:40:45,87
2023-07-18 17:40:46,87
2023-07-18 17:40:47,87
2023-07-18 17:40:48,87
2023-07-18 17:40:49,87
2023-07-18 17:40:50,87
2023-07-18 17:40:51,87
2023-07-18 17:40:52,87
2023-07-18 17:40:53,87
2023-07-18 17:40:54,87
2023-07-18 17:40:55,87
2023-07-18 17:40:56,87
2023-07-18 17:40:57,87
2023-07-18 17:40:58,87
2023-07-18 17:40:59,87
2023-07-18 17:41:00,87
2023-07-18 17:41:01,87
2023-07-18 17:41:02,87
2023-07-18 17:41:03,87
2023-07-18 17:41:04,87
2023-07-18 17:41:05,88
2023-07-18 17:41:06,88
2023-07-18 17:41:07,88
2023-07-18 17:41:08,88
2023-07-18 17:41:09,88
2023-07-18 17:41:10,88
2023-07-18 17:41:11,88
2023-07-18 17:41:12,88
2023-07-18 17:41:13,88
2023-07-18 17:41:14,88
2023-07-18 17:41:15,88
2023-07-18 17:41:16,88
2023-07-18 17:41:17,89
2023-07-18 17:41:18,89
2023-07-18 17:41:19,89
2023-07-18 17:41:20,89
2023-07-18 17:41:21,89
2023-07-18 17:41:22,89
2023-07-18 17:41:23,89
2023-07-18 17:41:24,89
2023-07-18 17:41:25,89
2023-07-18 17:41:26,89
2023-07-18 17:41:27,89
2023-07-18 17:41:28,89
2023-07-18 17:41:29,89
2023-07-18 17:41:30,89
2023-07-18 17:41:31,89
2023-07-18 17:41:32,89
2023-07-18 17:41:33,89
2023-07-18 17:41:34,89
2023-07-18 17:41:35,89
2023-07-18 17:41:36,89
2023-07-18 17:41:37,89
2023-07-18 17:41:38,89
2023-07-18 17:41:39,89
2023-07-18 17:41:40,89
2023-07-18 17:41:41,89
2023-07-18 17:41:42,89
2023-07-18 17:41:43,90
2023-07-18 17:41:44,90
2023-07-18 17:41:45,90
2023-07-18 17:41:46,90
2023-07-18 17:41:47,90
2023-07-18 17:41:48,90
2023-07-18 17:41:49,90
2023-07-18 17:41:50,90
2023-07-18 17:41:51,91
2023-07-18 17:41:52,91
2023-07-18 17:41:53,91
2023-07-18 17:41:54,91
2023-07-18 17:41:55,91
2023-07-18 17:41:56,91
2023-07-18 17:41:57,91
2023-07-18 17:41:58,91
2023-07-18 17:41:59,91
2023-07-18 17:42:00,92
2023-07-18 17:42:01,92
